Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Aberdeen Angus,Taurus,Scotland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Red-angus.jpg/800px-Red-angus.jpg     ,,,,
Abergele,—,Ethiopia,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/5/54/Abergele_cattle.jpg     ,,,,
Abigar,Taurus,Ethiopia,—,Dairy,—,—,,,,,
Abondance,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Vache_d%27Abondance.jpg/800px-Vache_d%27Abondance.jpg     ,,,,
Abyssinian Shorthorned Zebu,Indicus,Ethiopia,—,—,Draught,—,,,,,
Aceh,—,Indonesia,Meat,—,—,—,,,,,
Achham,Indicus,Nepal,—,Dairy,—,—,,,,,
Adamawa,Taurus,Nigeria,Meat,Dairy,Draught,—,,,,,
Adaptaur,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/4/43/Adaptaur.jpg     ,,,,
Afar,—,Ethiopia,Meat,Dairy,—,—,,,,,
Africangus,Taurus/Indicus hybrid,South Africa,Meat,—,—,—,,,,,
Afrikaner,Indicus,South Africa,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kuh_in_transkei.jpg/100px-Kuh_in_transkei.jpg     ,,,,
Agerolese,Taurus,Italy,—,Dairy,—,—,,,,,
Alambadi,Indicus,India,—,—,—,—,,,,,
Alatau,Taurus,Kazakhstan,Meat,Dairy,—,—,,,,,
Albanian,Taurus,Albania,—,Dairy,Draught,—,,,,,
Alderney,Taurus,Channel Islands,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/The_domestic_animals_-_from_the_latest_and_best_authorities._Illustrated_%281860%29_%2814784573923%29.jpg/800px-The_domestic_animals_-_from_the_latest_and_best_authorities._Illustrated_%281860%29_%2814784573923%29.jpg     ,,,,
Alentejana,Taurus,Portugal,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Algarve_-_086_%283468253840%29.jpg/800px-Algarve_-_086_%283468253840%29.jpg     ,,,,
Aliad Dinka,—,South Sudan,—,—,—,—,,,,,
Alistana-Sanabresa,—,Spain,—,—,—,—,,,,,
Allmogekor,Taurus,Sweden,Meat,—,Draught,—,,,,,
Alur,—,Democratic Republic of the Congo,—,—,—,—,,,,,
American,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
American Angus,—,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/d/db/Angus_cattle_7.jpg     ,,,,
American Beef Friesian,—,United States,—,—,—,—,,,,,
American Brown Swiss,Taurus,United States,—,Dairy,—,—,,,,,
American Milking Devon,Taurus,United States,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Pair_of_Milking_Devons.jpg/800px-Pair_of_Milking_Devons.jpg     ,,,,
American White Park,Taurus,United States,Meat,Dairy,—,—,,,,,
Amerifax,Taurus,United States,Meat,Dairy,—,—,,,,,
Anatolian Black,Taurus,Turkey,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Turkish_Nat%C4%B1ve_Black_Cattle_-_Yerlikara_03.jpg/100px-Turkish_Nat%C4%B1ve_Black_Cattle_-_Yerlikara_03.jpg     ,,,,
Andalusian Blond,—,Spain,—,—,—,—,,,,,use Image2
Andalusian Grey,—,Spain,—,—,—,—,,,,,
Angeln,Taurus,Germany,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Rotes_Angler_Rind_01.JPG/800px-Rotes_Angler_Rind_01.JPG     ,,,,
Angoni,—,Malawi,—,—,—,—,,,,,
Ankina,—,United States,—,—,—,—,,,,,
Ankole,—,East Africa,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ankole_Cattle.jpg/800px-Ankole_Cattle.jpg     ,,,,
Aracena,—,Spain,—,—,—,—,,,,,
Arado,—,Ethiopia,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Arado_cattle.jpg/800px-Arado_cattle.jpg     ,,,,
Argentine Criollo,Taurus,Argentina,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/6/66/Argentine_Criollo_Bull.png     ,,,,
Argentine Friesian,—,Argentina,—,Dairy,—,—,,,,,
Armorican,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/0/0e/Drev_chez_Yannig_Coulomb_%26_Ga%C3%ABlle_Kerl%C3%A9guer.jpg     ,,,,
Arouquesa,Taurus,Portugal,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Arouquesa2.jpg/800px-Arouquesa2.jpg     ,,,,
Arsi,—,Ethiopia,—,—,—,—,,,,,
Asturian Mountain,Taurus,Spain,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Asturiasko_mendiko_behia1.JPG/800px-Asturiasko_mendiko_behia1.JPG     ,,,,
Asturian Valley,Taurus,Spain,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/3/37/Vaca_Asturiana_de_los_valles.jpg     ,,,,
Aubrac,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Vache_Aubrac.jpg/800px-Vache_Aubrac.jpg     ,,,,
Aulie-Ata,Taurus,Kazakhstan,—,Dairy,—,—,,,,,
